Date,Class,Transaction Category,Debit,Credit
08/05/2026,2006,3rd Party Tax Exempt,,11.16
08/05/2026,2006,Register Audit,342,
08/05/2026,2006,Sales Tax,,18.26
08/05/2026,2006,In-Store Credit Card,2084.52,
08/05/2026,2006,Online Credit card,861.35,
08/05/2026,2006,Online Credit Card Tips,,26.5
08/05/2026,2006,In-Store Credit Card Tips,,157.63
08/05/2026,2006,Gift Card,32.5,
08/05/2026,2006,3rd Party - DoorDash,343.79,
08/05/2026,2006,3rd Party - GrubHub,11.21,
08/05/2026,2006,3rd Party - UberEats,91.92,
08/05/2026,2006,Cash Over/Short Adjustment,0.22,
08/05/2026,2016,Subject to Tax,,130.56
08/05/2026,2016,Non-Taxable Sales,,3633.8
08/05/2026,2016,3rd Party Tax Exempt,,3.72
08/05/2026,2016,Register Audit,417,
08/05/2026,2016,Sales Tax,,8.83
08/05/2026,2016,In-Store Credit Card,1857.88,
08/05/2026,2016,Online Credit card,1201.82,
08/05/2026,2016,Online Gift Card,45.2,
08/05/2026,2016,Online Credit Card Tips,,37
08/05/2026,2016,In-Store Credit Card Tips,,122.22
08/05/2026,2016,Gift Card,14.76,
08/05/2026,2016,3rd Party - DoorDash,352.1,
08/05/2026,2016,3rd Party - UberEats,46.66,
08/05/2026,2016,Cash Over/Short Adjustment,0.71,
08/05/2026,2017,Subject to Tax,,216.48
08/05/2026,2017,Non-Taxable Sales,,3004.71
08/05/2026,2017,3rd Party Tax Exempt,,7.08
08/05/2026,2017,Register Audit,121,
08/05/2026,2017,Sales Tax,,14.62
08/05/2026,2017,In-Store Credit Card,1794.71,
08/05/2026,2017,Payout,37.8,
08/05/2026,2017,Online Credit card,951.17,
08/05/2026,2017,Online Gift Card,25,
08/05/2026,2017,Online Credit Card Tips,,19
08/05/2026,2017,In-Store Credit Card Tips,,118.43
08/05/2026,2017,Online Gift Card Tips,,2
08/05/2026,2017,Gift Card,10,
08/05/2026,2017,3rd Party - DoorDash,366.53,
08/05/2026,2017,3rd Party - UberEats,75.99,
08/05/2026,2017,Cash Over/Short Adjustment,0.12,
08/05/2026,2020,Subject to Tax,,323.16
08/05/2026,2020,Non-Taxable Sales,,3494.97
08/05/2026,2020,3rd Party Tax Exempt,,23.98
08/05/2026,2020,Register Audit,278,
08/05/2026,2020,Sales Tax,,22.75
08/05/2026,2020,In-Store Credit Card,1772.63,
08/05/2026,2020,Payout,122.16,
08/05/2026,2020,Online Credit card,1106.49,
08/05/2026,2020,Online Gift Card,20,
08/05/2026,2020,Online Credit Card Tips,,17
08/05/2026,2020,In-Store Credit Card Tips,,121.3
08/05/2026,2020,Online Gift Card Tips,,5
08/05/2026,2020,Gift Card,13.6,
08/05/2026,2020,3rd Party - DoorDash,633.11,
08/05/2026,2020,3rd Party - GrubHub,12.84,
08/05/2026,2020,3rd Party - UberEats,49.61,
08/05/2026,2020,Cash Over/Short Adjustment,,0.28
08/05/2026,2023,Subject to Tax,,205.72
08/05/2026,2023,Non-Taxable Sales,,3482.22
08/05/2026,2023,3rd Party Tax Exempt,,11.16
08/05/2026,2023,Register Audit,92,
08/05/2026,2023,Sales Tax,,14.48
08/05/2026,2023,In-Store Credit Card,1916.78,
08/05/2026,2023,Payout,49.67,
08/05/2026,2023,Online Credit card,1185.8,
08/05/2026,2023,Online Gift Card,22.01,
08/05/2026,2023,Online Credit Card Tips,,29
08/05/2026,2023,In-Store Credit Card Tips,,115.83
08/05/2026,2023,Gift Card,7.7,
08/05/2026,2023,3rd Party - DoorDash,488.15,
08/05/2026,2023,3rd Party - UberEats,96.5,
08/05/2026,2023,Cash Over/Short Adjustment,,0.2
08/05/2026,2024,Subject to Tax,,214.87
08/05/2026,2024,Non-Taxable Sales,,2847.2
08/05/2026,2024,3rd Party Tax Exempt,,29.14
08/05/2026,2024,Register Audit,85,
08/05/2026,2024,Sales Tax,,16.94
08/05/2026,2024,In-Store Credit Card,1833.56,
08/05/2026,2024,Payout,53.7,
08/05/2026,2024,Online Credit card,778.49,
08/05/2026,2024,Online Credit Card Tips,,12
08/05/2026,2024,In-Store Credit Card Tips,,114.46
08/05/2026,2024,Gift Card,29.45,
08/05/2026,2024,3rd Party - DoorDash,399.64,
08/05/2026,2024,3rd Party - GrubHub,24.11,
08/05/2026,2024,3rd Party - UberEats,30.88,
08/05/2026,2024,Cash Over/Short Adjustment,,0.22
08/05/2026,2047,Subject to Tax,,173.17
08/05/2026,2047,Non-Taxable Sales,,3373.35
08/05/2026,2047,3rd Party Tax Exempt,,18.6
08/05/2026,2047,Register Audit,373,
